xref,seg_layer,nverts,closed,wkt
SEGMENTATION - MTA,L.13,2,0,"LINESTRING(6469.6672 55604.0582, 6482.5626 55573.0870)"
SEGMENTATION - MTA,L.10,2,0,"LINESTRING(6468.4223 55536.7465, 6434.4632 55494.4491)"
SEGMENTATION - MTA,L.11,2,0,"LINESTRING(6472.9969 55542.4448, 6470.8781 55539.8055)"
SEGMENTATION - MTA,L.9,2,0,"LINESTRING(6425.2509 55482.9724, 6416.0370 55471.4955)"
SEGMENTATION - MTA,L.8,2,0,"LINESTRING(6406.8237 55460.0211, 6379.1849 55425.5926)"
SEGMENTATION - MTA,L.7,2,0,"LINESTRING(6370.9109 55415.2864, 6369.0327 55412.9472)"
SEGMENTATION - MTA,L.6,2,0,"LINESTRING(6360.7580 55402.6413, 6333.1165 55368.2148)"
SEGMENTATION - MTA,L.4,2,0,"LINESTRING(6263.3993 55281.3700, 6258.6802 55275.4922)"
SEGMENTATION - MTA,K1.3,3,0,"LINESTRING(5793.3385 57083.8931, 5804.7883 57116.1191, 5815.1511 57129.0262)"
SEGMENTATION - MTA,K1.1,3,0,"LINESTRING(5891.9339 56983.1716, 5812.6632 57046.8122, 5812.6632 57046.8123)"
SEGMENTATION - MTA,K.1,2,0,"LINESTRING(5909.3953 56969.1516, 5897.4270 56978.7615)"
SEGMENTATION - MTA,K.2,2,0,"LINESTRING(5913.3989 56965.9382, 5915.4016 56964.3310)"
SEGMENTATION - MTA,K2.1,2,0,"LINESTRING(5922.5166 56964.3751, 5979.7062 56970.6299)"
SEGMENTATION - MTA,K2.2,2,0,"LINESTRING(5983.5873 56967.5140, 5989.8420 56910.3243)"
SEGMENTATION - MTA,K2.3,2,0,"LINESTRING(5992.9202 56986.3083, 5984.3637 56975.6509)"
SEGMENTATION - MTA,K.3,2,0,"LINESTRING(5924.7769 56956.8044, 5945.5709 56940.1094)"
SEGMENTATION - MTA,K.4,2,0,"LINESTRING(5950.7700 56935.9364, 5987.1603 56906.7212)"
SEGMENTATION - MTA,K.5,2,0,"LINESTRING(5992.3589 56902.5477, 6000.2811 56896.1874)"
SEGMENTATION - MTA,K.7,2,0,"LINESTRING(6068.7453 56795.8427, 6070.8929 56788.6568)"
SEGMENTATION - MTA,K.8,2,0,"LINESTRING(6073.1594 56781.5586, 6079.4908 56759.8896)"
SEGMENTATION - MTA,K.9,2,0,"LINESTRING(6081.6312 56752.7271, 6083.7789 56745.5412)"
SEGMENTATION - MTA,K.10,2,0,"LINESTRING(6085.8605 56738.3584, 6089.1091 56726.9256)"
SEGMENTATION - MTA,K.11,2,0,"LINESTRING(6092.2134 56715.4435, 6095.3787 56703.9879)"
SEGMENTATION - MTA,K.12,2,0,"LINESTRING(6098.5044 56692.5185, 6109.9395 56647.3519)"
SEGMENTATION - MTA,K.13,2,0,"LINESTRING(6111.1570 56642.3082, 6111.8604 56639.3970)"
SEGMENTATION - MTA,K.14,2,0,"LINESTRING(6112.7122 56635.8276, 6113.3987 56632.9149)"
SEGMENTATION - MTA,K.15,2,0,"LINESTRING(6116.2431 56620.7409, 6122.3110 56593.3343)"
SEGMENTATION - MTA,K3.2,2,0,"LINESTRING(6196.2162 56611.0896, 6119.1059 56628.4885)"
SEGMENTATION - MTA,K3.1,3,0,"LINESTRING(6197.0597 56604.9032, 6152.3504 56549.2166, 6142.0891 56518.2237)"
SEGMENTATION - MTA,K.16,2,0,"LINESTRING(6125.3385 56579.6606, 6129.6420 56558.9203)"
SEGMENTATION - MTA,K.17,2,0,"LINESTRING(6130.9956 56552.1980, 6135.0188 56531.5619)"
SEGMENTATION - MTA,K.18,2,0,"LINESTRING(6136.0494 56526.1376, 6138.1712 56517.2023)"
SEGMENTATION - MTA,K.21,2,0,"LINESTRING(6160.1014 56477.5055, 6170.5956 56468.0592)"
SEGMENTATION - MTA,K.22,2,0,"LINESTRING(6175.8427 56463.3360, 6202.0782 56439.7202)"
SEGMENTATION - MTA,K4.1,2,0,"LINESTRING(6163.0287 56480.9472, 6220.5196 56485.5979)"
SEGMENTATION - MTA,K.19,2,0,"LINESTRING(6142.8090 56511.5981, 6149.5642 56494.5406)"
SEGMENTATION - MTA,K.20,2,0,"LINESTRING(6153.6920 56489.0859, 6157.5304 56485.2017)"
SEGMENTATION - MTA,K3.3,2,0,"LINESTRING(6202.0250 56617.4774, 6200.1469 56615.1381)"
SEGMENTATION - MTA,K3.4,2,0,"LINESTRING(6248.0508 56674.8065, 6205.7814 56622.1560)"
SEGMENTATION - MTA,K3.5,2,0,"LINESTRING(6299.7108 56739.1538, 6255.0937 56683.5792)"
SEGMENTATION - MTA,K4.6,2,0,"LINESTRING(6375.7405 56678.1150, 6330.6200 56621.9132)"
SEGMENTATION - MTA,K4.5,2,0,"LINESTRING(6322.1453 56611.3578, 6279.9006 56558.7378)"
SEGMENTATION - MTA,K4.4,2,0,"LINESTRING(6271.3005 56548.0230, 6229.4360 56495.8796)"
SEGMENTATION - MTA,K4.3,2,0,"LINESTRING(6222.2651 56486.9472, 6225.7293 56491.2623)"
SEGMENTATION - MTA,K4.2,2,0,"LINESTRING(6221.9033 56479.3817, 6226.3977 56423.8219)"
SEGMENTATION - MTA,K.23,2,0,"LINESTRING(6207.3253 56434.9970, 6212.5724 56430.2739)"
SEGMENTATION - MTA,K.24,2,0,"LINESTRING(6217.8195 56425.5507, 6223.0666 56420.8275)"
SEGMENTATION - MTA,K.25,2,0,"LINESTRING(6228.3137 56416.1044, 6233.3591 56412.0996)"
SEGMENTATION - MTA,K.26,3,0,"LINESTRING(6238.8609 56408.7494, 6244.7347 56406.1051, 6258.1051 56401.5079)"
SEGMENTATION - MTA,K.27,2,0,"LINESTRING(6264.8585 56399.5188, 6271.7550 56397.7097)"
SEGMENTATION - MTA,K.28,3,0,"LINESTRING(6278.6153 56396.1276, 6292.5207 56393.5699, 6325.4063 56388.2951)"
