sheet,deck_asset_id,deck_symbol_type,in_plot_frame,registered_x_local,registered_y_local,nearest_source_fixture_layer,nearest_source_block,nearest_source_x,nearest_source_y,residual_m
LOC-03,HH.E4.010,Existing handhole,True,5848.3575,54706.6225,CV_HH,Pit,5849.4321,54704.7052,2.1979
LOC-03,HH.E.058,Existing handhole,True,5885.4789,54672.4485,CV_HH,Pit,5886.6318,54670.4683,2.2913
LOC-03,HH.E.059,Existing handhole,True,5875.915,54682.2422,CV_HH,Pit,5877.0535,54680.2705,2.2768
LOC-03,MH.E.023,Existing manhole,True,5822.1528,54661.5684,CV_ETRANS MH,E_OLD MH,5823.2084,54659.6031,2.2308
LOC-03,HH.E4.010,Existing handhole,True,5851.8551,54703.6846,CV_MH,N_MH,5853.0126,54701.7507,2.2538
LOC-03,MH.E.023,Existing manhole,True,5815.6125,54658.3593,CV_MH,N_MH,5816.7218,54656.4071,2.2453
LOC-03,SGC102.02.015,Sign foundation,True,5822.0629,54640.913,EL-SGN-FNDTN,*U183,5822.0128,54640.9321,0.0536
LOC-03,SGC102.02.014,Sign foundation,True,5863.0381,54700.6731,EL-SGN-FNDTN,*U183,5863.0196,54700.7322,0.0619
LOC-03,TCCECH.03.006,Taxiway centreline light,False,5908.9403,54645.6438,EL-RRM,RRM,5907.067,54636.974,8.8698
LOC-03,P4.039,Existing transformer pit,False,5908.9854,54653.8343,CV_HH,Pit,5897.6909,54661.7145,13.7718
LOC-03,P4.039,Existing transformer pit,False,5908.9855,54651.1041,EL-RRM,RRM,5907.067,54636.974,14.2598
LOC-03,P4.039,Existing transformer pit,False,5908.9856,54648.3739,EL-RRM,RRM,5907.067,54636.974,11.5603
LOC-03,SBC102-01/039,Stop bar light,True,5851.7524,54679.1901,EL-STOPBAR,STB-in,5851.725,54679.234,0.0517
LOC-03,TCCECH.04.001,Taxiway centreline light,True,5847.9924,54674.4827,EL-STOPBAR,STB-in,5847.962,54674.524,0.0513
LOC-03,TCCECH.04.001,Taxiway centreline light,True,5849.8704,54676.8384,EL-STOPBAR,STB-in,5849.842,54676.881,0.0512
LOC-03,TCCECH.04.001,Taxiway centreline light,True,5846.1303,54672.1409,EL-STOPBAR,STB-in,5846.099,54672.18,0.0501
LOC-03,RRM.557,Runway guard light / RRM,True,5871.3123,54667.8184,EL-RRM,RRM,5872.492,54665.795,2.3422
LOC-03,SBC102-01/038,Stop bar light,True,5860.1281,54677.6401,EL-RRM,RRM,5861.258,54675.691,2.2529
