sheet,source_layer,source_xref,approx_geometry,on_sheet_length_m,wkt_zia_local_grid_m
LOC-03,CV-EX SEC CONDUIT,X_EL_SECONDARY CABLE LAYOUT,0,10.645,"LINESTRING(5851.7250 54679.2340, 5861.1776 54684.1298)"
LOC-03,CV-EX SEC CONDUIT,X_EL_SECONDARY CABLE LAYOUT,0,16.338,"LINESTRING(5847.9620 54674.5240, 5861.1776 54684.1298)"
LOC-03,CV-EX SEC CONDUIT,X_EL_SECONDARY CABLE LAYOUT,0,19.24,"LINESTRING(5861.1776 54684.1298, 5846.0990 54672.1800)"
LOC-03,CV-EX SEC CONDUIT,X_EL_SECONDARY CABLE LAYOUT,0,19.192,"LINESTRING(5861.1776 54684.1298, 5847.1307 54671.0528)"
LOC-03,CV-EX SEC CONDUIT,X_EL_SECONDARY CABLE LAYOUT,0,20.189,"LINESTRING(5846.6453 54670.1159, 5861.1776 54684.1298)"
LOC-03,CV-EX SEC CONDUIT,X_EL_SECONDARY CABLE LAYOUT,0,19.96,"LINESTRING(5847.0934 54669.9867, 5861.1776 54684.1298)"
LOC-03,CV-EX SEC CONDUIT,X_EL_SECONDARY CABLE LAYOUT,0,20.024,"LINESTRING(5847.3527 54669.6437, 5861.1776 54684.1298)"
LOC-03,CV-EX SEC CONDUIT,X_EL_SECONDARY CABLE LAYOUT,0,3.148,"LINESTRING(5847.1307 54671.0528, 5844.2190 54669.8560)"
LOC-03,CV-EX SEC CONDUIT,X_EL_SECONDARY CABLE LAYOUT,0,5.038,"LINESTRING(5842.3280 54667.5190, 5846.6453 54670.1159)"
LOC-03,CV-EX SEC CONDUIT,X_EL_SECONDARY CABLE LAYOUT,0,8.201,"LINESTRING(5840.4520 54665.1750, 5847.0934 54669.9867)"
LOC-03,CV-EX SEC CONDUIT,X_EL_SECONDARY CABLE LAYOUT,0,11.103,"LINESTRING(5838.5830 54662.8340, 5847.3527 54669.6437)"
LOC-03,CV-NEW SEC CONDUIT,X_EL_SECONDARY CABLE LAYOUT,0,12.718,"LINESTRING(5822.0128 54640.9321, 5833.1484 54643.1655, 5834.0412 54644.1917)"
